Lat,Long,pref_name_for_society,soc_id,Community marriage organization,Cousin marriages permitted,Cousin marriages permitted: subtypes,Cousin marriages preferred,Cousin marriages preferred: subtypes,Domestic organization,Marital composition: monogamy and polygamy,Marital residence with kin: alternate,Marital residence with kin: change after first years,Marital residence with kin: first years,Marital residence with kin: prevailing pattern,Organization of clan communities,Transactions at marriage: alternate type,Transactions at marriage: prevailing type,Transfer of residence at marriage: alternate,Transfer of residence at marriage: prevailing pattern,Community marriage organization_numeric,Cousin marriages permitted_numeric,Cousin marriages permitted: subtypes_numeric,Cousin marriages preferred_numeric,Cousin marriages preferred: subtypes_numeric,Domestic organization_numeric,Marital composition: monogamy and polygamy_numeric,Marital residence with kin: alternate_numeric,Marital residence with kin: change after first years_numeric,Marital residence with kin: first years_numeric,Marital residence with kin: prevailing pattern_numeric,Organization of clan communities_numeric,Transactions at marriage: alternate type_numeric,Transactions at marriage: prevailing type_numeric,Transfer of residence at marriage: alternate_numeric,Transfer of residence at marriage: prevailing pattern_numeric
-55.02,-68.98,Yahgan,Sg1,Exogamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Virilocal,Virilocal,No exogamous clans,Token bride-wealth,Bride-service,No alternate,Wife to husband,3,5,2,7,4,2,0,6,1,11,11,2,5,0,2,3
-54.0,-69.0,Ona,Sg3,Exogamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Neolocal,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Insignificant,Ambi/neo-local,Wife to husband,3,5,2,7,4,2,0,5,1,11,11,2,4,4,0,3
-52.0,-74.0,Alacaluf,Sg5,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,Neolocal,Different,Uxorilocal,Ambilocal,No exogamous clans,No alternate,Insignificant,No alternate,Ambi/neo-local,0,0,4,7,4,2,0,5,0,10,2,2,4,4,2,0
-46.0,-70.0,Tehuelche,Sg4,Agamous,Any first cousins,Quadrilateral,None preferred,None preferred,Small extended,Limited polygyny,No alternate,Same,Virilocal,Virilocal,No exogamous clans,Bride-wealth,Gift exchange,No alternate,Wife to husband,0,0,4,7,4,7,0,6,1,11,11,2,1,3,2,3
-39.0,-68.0,Mapuche,Sg2,"Segmented, exogamy",Matrilateral cross only,Unilateral,Uni: MoBrDa,MoBrDa,Small extended,"Polygyny, non-sororal separate quarters",Neolocal,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,Ambi/neo-local,Wife to husband,4,3,7,14,3,7,4,5,1,8,8,2,4,1,0,3
-38.41,176.31,Māori,Ij2,"Segmented, no exogamy",Only second cousins,Only second cousins,Second cousins preferred,Second cousin,Small extended,"Polygyny, non-sororal cohabit",No alternate,Same,Virilocal,Virilocal,No exogamous clans,No alternate,Insignificant,No alternate,Wife to husband,5,6,3,8,5,7,3,6,1,11,11,2,4,4,2,3
-32.89,27.91,Xhosa Ngqika,Ab11,Agamous,No first cousins,No first cousins,None preferred,None preferred,"Polygyny, typical cowives pattern","Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,0,4,1,7,4,6,4,6,1,8,8,2,4,1,2,3
-32.0,146.0,Ngiyambaa,Id9,Clans,Some second only,Some second only,Some second only,Second cousin,"Nuclear, limited polygyny",Limited polygyny,No alternate,Same,Patrilocal,Patrilocal,Clans,No alternate,Woman exchange,No alternate,Wife to husband,1,9,5,9,5,2,0,6,1,8,8,0,4,6,2,3
-31.0,30.0,Pondo Xhosa,Ab10,Exogamous,No first cousins,No first cousins,None preferred,None preferred,Small extended,"Polygyny, non-sororal separate quarters",No alternate,Same,Patrilocal,Patrilocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Wife to husband,3,4,1,7,4,7,4,6,1,8,8,2,4,1,2,3
-29.0,-61.0,Abipón,Sh3,Agamous,No first/second cousins,No first/second cousins,None preferred,None preferred,"Nuclear, limited polygyny",Limited polygyny,No alternate,Different,Uxorilocal,Neolocal,No exogamous clans,No alternate,Bride-wealth,No alternate,Ambi/neo-local,0,5,2,7,4,2,0,6,0,10,7,2,4,1,2,0
