Lat,Long,pref_name_for_society,soc_id,Community marriage organization_numeric,Cousin marriages permitted_numeric,Cousin marriages permitted: subtypes_numeric,Cousin marriages preferred_numeric,Cousin marriages preferred: subtypes_numeric,Domestic organization_numeric,Marital composition: monogamy and polygamy_numeric,Marital residence with kin: alternate_numeric,Marital residence with kin: change after first years_numeric,Marital residence with kin: first years_numeric,Marital residence with kin: prevailing pattern_numeric,Organization of clan communities_numeric,Transactions at marriage: alternate type_numeric,Transactions at marriage: prevailing type_numeric,Transfer of residence at marriage: alternate_numeric,Transfer of residence at marriage: prevailing pattern_numeric,AnnualMeanTemperature,MonthlyMeanPrecipitation
-55.02,-68.98,Yahgan,Sg1,3,5,2,7,4,2,0,6,1,11,11,2,5,0,2,3,4.040226215,106173.9762
-54.0,-69.0,Ona,Sg3,3,5,2,7,4,2,0,5,1,11,11,2,4,4,0,3,3.673220667,99406.99295
-52.0,-74.0,Alacaluf,Sg5,0,0,4,7,4,2,0,5,0,10,2,2,4,4,2,0,5.833742621,135790.8889
-46.0,-70.0,Tehuelche,Sg4,0,0,4,7,4,7,0,6,1,11,11,2,1,3,2,3,5.156872632,51252.80265
-39.0,-68.0,Mapuche,Sg2,4,3,7,14,3,7,4,5,1,8,8,2,4,1,0,3,10.33971376,41571.08374
-38.41,176.31,Māori,Ij2,5,6,3,8,5,7,3,6,1,11,11,2,4,4,2,3,13.14841997,122920.8134
-32.89,27.91,Xhosa Ngqika,Ab11,0,4,1,7,4,6,4,6,1,8,8,2,4,1,2,3,17.09562177,96541.61735
-32.0,146.0,Ngiyambaa,Id9,1,9,5,9,5,2,0,6,1,8,8,0,4,6,2,3,17.07333772,62328.90153
-31.0,30.0,Pondo Xhosa,Ab10,3,4,1,7,4,7,4,6,1,8,8,2,4,1,2,3,19.17895521,128040.8127
-29.0,-61.0,Abipón,Sh3,0,5,2,7,4,2,0,6,0,10,7,2,4,1,2,0,20.46935368,84031.72179
-29.0,28.0,Sotho,Ab8,0,0,4,1,0,6,4,6,0,10,8,2,4,1,2,3,10.67785505,124839.5988
-29.0,31.0,Zulu,Ab12,1,5,2,7,4,7,4,6,1,8,8,0,4,1,2,3,16.45028857,165893.6429
-28.0,-50.0,Aweikoma,Sj3,2,0,4,7,4,5,3,6,1,2,2,2,4,4,2,0,17.03586013,137273.047
-28.0,138.0,Diyari,Id4,3,9,5,9,5,6,5,6,1,11,11,2,4,6,2,3,20.76912149,39534.38844
-27.0,32.0,Swazi,Ab2,1,1,0,7,4,0,6,5,1,8,8,1,4,1,0,3,17.88512326,155132.0623
-26.0,18.0,Nama,Aa3,1,1,0,7,4,2,0,6,0,10,8,0,1,3,2,3,20.43585493,39669.85532
-25.0,-60.0,Toba,Sh8,0,6,3,7,4,7,0,6,1,2,2,2,4,4,2,0,23.352928,93083.45966
-25.0,30.0,Pedi,Ab15,1,3,7,14,3,6,4,6,0,10,8,0,4,1,2,3,14.54028018,92810.08738
-25.0,34.0,Lenge,Ab16,1,6,3,7,4,7,4,6,1,8,8,0,4,1,2,3,23.75917944,86587.83452
-25.0,46.0,Antandroy,Eh7,2,6,3,7,4,6,4,9,1,8,8,2,4,1,1,3,23.08511895,62507.12508
-24.0,-63.0,Wichí,Sh1,3,4,1,7,4,7,0,10,0,10,0,2,4,0,4,0,20.6013233,109904.987
-24.0,27.0,Tswana,Ab13,5,0,4,1,0,5,6,6,0,10,8,2,4,1,2,3,18.42354332,78320.73565
-24.0,31.0,Lovedu,Ab14,1,1,0,4,3,6,4,6,1,8,8,0,4,1,2,3,17.61973153,99002.3787
-24.0,32.0,Tsonga,Ab4,1,6,3,7,4,0,6,6,1,8,8,0,4,1,2,3,20.19768344,102638.1489
-24.0,134.0,Northern Aranda,Id1,1,9,5,9,5,6,5,6,1,8,8,0,4,2,2,3,20.83198003,60614.8122
-23.68,-46.64,Brazilians,Cf4,0,4,1,7,4,3,1,10,1,7,7,2,4,4,4,0,19.70871739,125962.7653
-23.12,-134.97,Mangarevans,Ij7,0,6,3,7,4,2,0,9,1,1,1,2,4,4,1,0,23.3914467,155734.4418
-23.0,30.0,Venda,Ab6,5,1,0,4,3,0,6,6,1,8,8,2,4,1,2,3,19.08799218,78645.35105
-22.9,47.75,Antaisaka,Eh9,1,4,1,7,4,7,4,6,1,8,8,1,0,5,2,3,20.8848302,107274.7257
-22.0,-62.0,Choroti,Sh5,3,4,1,7,4,3,1,6,1,10,10,2,4,0,2,1,25.00054367,84072.86618
-22.0,16.0,Bergdama,Aa4,3,0,4,7,4,5,6,9,0,10,1,2,4,0,1,0,22.66307586,42805.12609
-22.0,47.0,Betsileo,Eh10,0,5,2,7,4,7,3,6,1,8,8,2,4,5,2,3,21.07518464,95639.95205
-22.0,47.0,Tanala,Eh3,4,1,0,3,0,7,4,6,1,8,8,2,4,5,2,3,21.07518464,95639.95205
-22.0,132.0,Walbiri,Id10,0,5,2,7,4,6,5,6,1,8,8,2,4,5,2,3,22.31397715,68758.59449
-21.93,-157.91,Mangaians,Ij1,3,5,2,7,4,7,5,9,1,1,1,2,4,4,1,0,23.75169406,121771.9855
-21.0,-58.0,Terena,Sh2,2,4,1,7,4,0,0,5,0,10,2,2,4,4,2,0,26.41677012,97221.60822
-21.0,16.0,Herero,Ab1,3,1,0,5,2,7,4,3,1,11,11,2,4,1,2,3,21.9947192,52226.41738
-21.0,43.93,Sakalava,Eh8,1,4,1,7,4,0,4,6,1,8,8,0,4,4,2,3,25.64419991,64203.6911
-21.0,118.0,Kariyarra,Id5,1,1,0,3,0,6,5,6,1,8,8,0,4,6,2,3,25.6077913,70442.92486
-20.94,167.23,Lifu,Ih7,1,5,2,7,4,0,4,6,1,8,8,0,0,1,2,3,23.99519318,106659.6467
-20.0,-63.0,Guaraní,Sh7,0,0,4,7,4,7,0,5,0,10,11,2,4,0,0,3,18.90192409,139787.8055
-20.0,21.0,!Kung,Aa1,3,5,2,7,4,7,0,6,0,10,2,2,4,0,2,0,21.03514971,87000.00141
-20.0,24.0,Naron,Aa7,3,4,1,7,4,2,0,9,0,2,1,2,4,5,1,0,21.93601527,82529.79572
-20.0,28.0,Ndebele,Ab9,0,5,2,7,4,6,4,6,1,8,8,2,4,1,2,3,19.91998232,81720.68357
-20.0,34.0,Ndau,Ab17,1,4,1,7,4,6,4,6,1,8,8,0,4,1,2,3,23.36566077,94587.40701
-19.74,-175.07,Tongans,Ii12,5,4,1,7,4,2,0,3,1,11,11,2,4,4,2,3,24.75069207,133436.2433
-19.6,169.44,Tannese,Ih10,1,1,0,3,0,2,0,6,1,8,8,0,4,1,2,3,24.62106067,115889.451
-19.05,-169.86,Niueans,Ii9,5,6,3,7,4,2,0,9,1,1,1,2,4,4,1,0,24.96269324,136966.3834
-19.0,31.0,Shona,Ab18,1,4,1,7,4,5,6,9,1,8,8,0,4,1,1,3,18.61544463,80000.56697
-19.0,46.0,Merina,Eh2,0,1,0,7,4,2,0,6,1,11,11,2,4,5,2,3,22.06742271,109438.7004
-18.85,169.16,Eromangans,Ih12,1,4,1,7,4,2,0,6,1,8,8,0,4,1,2,3,25.05172849,128099.7419
-18.0,-63.0,Camba,Se7,0,4,1,7,4,3,1,0,1,7,7,2,4,4,2,0,21.28437226,106658.3205
-18.0,28.0,Plateau Tonga,Ac30,0,1,0,7,4,7,4,5,0,10,4,2,4,1,0,3,22.13777711,81029.97103
-17.81,178.32,Vanua Levu,Ih8,5,6,3,7,4,7,0,9,1,8,8,2,4,3,1,3,25.37761696,160464.9687
-17.74,-179.31,Lau,Ih4,1,1,0,3,0,7,5,9,0,9,8,0,4,3,1,3,25.60874294,161981.0707
-17.71,-149.54,Tahitians,Ij8,0,4,1,7,4,2,0,6,1,2,2,2,4,4,2,0,25.81358677,166663.0502
