xs,ys,ts
10.813489,-1.739437,Yahgan
11.312573,-1.5867062,Ona
15.235704,0.42001188,Alacaluf
11.271083,3.5211384,Tehuelche
15.750019,10.456098,Mapuche
13.272149,5.1653843,Māori
15.645394,4.9394503,Xhosa Ngqika
11.174019,0.41505998,Ngiyambaa
12.916866,6.0368495,Pondo Xhosa
9.437358,0.78730935,Abipón
9.645907,-8.755111,Sotho
16.697151,5.6324553,Zulu
1.396987,6.031576,Aweikoma
13.609493,5.200856,Diyari
7.112727,-1.4149886,Swazi
9.235357,0.17869224,Nama
1.264411,6.5349073,Toba
15.70776,10.425486,Pedi
16.567879,5.7499394,Lenge
16.073936,5.6226344,Antandroy
15.717029,0.85123813,Wichí
9.836639,-8.943738,Tswana
14.085973,3.2325475,Lovedu
7.008819,-1.4876096,Tsonga
15.480362,6.4394236,Northern Aranda
8.564578,1.4175153,Brazilians
1.9660891,3.4209046,Mangarevans
7.5476136,-2.2099998,Venda
14.493969,5.2536936,Antaisaka
10.561552,-1.6390113,Choroti
15.685659,1.0330365,Bergdama
14.633788,5.0890703,Betsileo
13.508471,2.586924,Tanala
14.772627,5.1706614,Walbiri
0.81035316,6.99249,Mangaians
15.162015,0.26351073,Terena
13.489068,3.6864026,Herero
7.0142927,-1.4490215,Sakalava
13.633813,2.468709,Kariyarra
7.2967553,-1.5790483,Lifu
11.335737,3.5228488,Guaraní
15.6122055,0.8131221,!Kung
2.2812884,3.5010383,Naron
15.725794,5.1912365,Ndebele
15.811696,4.0014043,Ndau
11.239241,-1.8957019,Tongans
8.455414,-0.31715563,Tannese
2.2727854,3.4260497,Niueans
15.8294115,4.416988,Shona
11.117538,-0.7893945,Merina
9.317972,0.4164385,Eromangans
8.355454,1.413284,Camba
14.996733,3.3891032,Plateau Tonga
11.783836,5.685944,Vanua Levu
13.836377,2.651802,Lau
3.0410504,4.908432,Tahitians
16.51686,5.2770987,Seniang
11.2031355,0.31768447,Ranon
9.905329,-0.105261244,Aymara
15.610594,10.85819,Sirionó
11.687086,5.749695,Bororo
15.7014675,10.358554,Ila
13.939336,2.921933,Nyanja
9.547219,-2.2721903,Bunlap
15.134512,3.5087419,Nyaneka
13.8757515,5.0183773,Lozi
9.96096,1.8867878,Lala
13.9848385,2.195405,Kunda
13.909258,2.828541,Makua
9.974776,1.8513145,Yir Yoront
11.965867,3.8219433,Bacairi
13.814816,4.6796174,Shavante
13.8322735,2.888503,Chewa
15.724359,10.430109,Wikmunkan
15.15082,5.4379907,Anindilyagwa
2.230316,3.6401212,Upolu Samoans
12.707808,6.177615,Mota
2.4280362,4.142783,American Samoans
11.105707,-0.66548115,Inca
11.051052,-0.760169,Kuikuru
14.923422,4.8291836,Luchazi
14.067676,2.4869747,Kaonde
14.043947,1.3358531,Lamba
15.455866,6.6044374,Nyasa
8.556323,-1.353727,Yao
9.045631,-2.1028574,Rotumans
15.719984,10.422688,"Yolngu, Dhuwal"
15.182661,6.224108,Gidjingali
15.327547,5.388441,Tikopia
8.618771,-0.62508523,Chácobo
1.7562233,5.067423,Nambikwara
8.766767,-0.5361298,Kamayurá
8.628364,-0.6080058,Trumai
11.356062,3.5486915,Carajá
13.988743,3.192142,Mbundu
13.88576,2.8202262,Luimbe
13.855768,2.592591,Luvale
1.0512928,6.5704722,Ngoni
8.733222,-1.310778,Tonga
13.767944,2.9721408,Tumbuka
0.5399832,6.611664,Tiwi
1.8998861,3.5765514,Rossel Islanders
11.542444,-1.381192,Tapirapé
13.881123,2.4738064,Ndembu
14.0254755,2.1533632,Bemba
13.81864,2.9335523,Makonde
9.620937,-2.0790102,Pukapukans
12.253914,3.793742,Santa Cruz Islanders
3.3373497,4.756168,Dahuni
8.810485,-0.6108322,Amahuaca
8.206437,0.0075471634,Chokwe
8.53957,-0.21462873,Luapula
13.799514,3.0199184,Iwa
13.221337,5.9649615,Ngonde
15.582228,10.858856,Sumbanese
2.9764862,4.965962,Dobuans
9.941505,0.2901286,Miriam
10.889308,-1.8100746,Ulawans
9.614052,-1.2548606,Kaoka
1.8207018,3.7134027,Tokelau
11.255142,0.38792148,Sherente
15.509954,5.188464,Nyakyusa
14.172306,6.1685576,Bena
15.589531,10.866272,Belu
14.598112,5.098163,Keraki
9.516669,-2.2754579,Kiwai
9.325591,0.8067178,Koita
12.606752,6.153505,Mekeo
12.593412,6.0910783,Koiari
9.493716,-1.6438817,Orokaiva
9.413429,0.6657349,Kwaio
8.636568,-0.53538686,Marquesans
9.208729,1.7024852,Sumbawanese
9.143203,-2.196859,Trobriands
12.023092,5.1469765,Ili-Mandiri
2.1034827,3.4489298,Alorese
13.313729,3.078018,Tanimbarese
9.765675,-8.877568,Balinese
1.2364727,6.1314154,Asháninka
11.6857605,-1.2863601,Kayapo
14.0354805,1.4770656,Tupinambá
15.688003,4.9757433,Luba
14.020074,3.1909533,Hehe
8.53744,-1.4232602,Luguru
9.672124,-2.219744,Marind-Amin
12.584557,6.0867743,Mafulu
15.067594,0.39042464,Simboese
9.1887455,0.6542405,Elema
0.67567647,6.2417164,Kimam
0.5366487,6.3530154,Ellice
11.901874,5.573612,Canela
8.452059,0.100601435,Bakongo
15.218205,4.8855057,Luwa
14.014574,3.1692107,Gogo
13.470897,6.629372,Kwere
11.138964,0.49081248,Javanese
12.406914,6.271196,Purari
11.239075,-1.9535886,Busama
2.0991154,3.5055876,Choiseulese
13.597228,2.490531,Wantoat
1.7338703,4.9309483,Munduruku
11.12908,0.1830334,Apinaye
13.46318,3.8041532,Suku
15.267585,6.6574073,Pende
15.661791,4.924712,Songye
8.713287,-2.041608,Kaguru
9.383445,-2.2388213,Ngulu
12.030966,4.7774234,Muju
6.914046,-1.3784355,Kutubu
9.453654,0.5041158,Enga
11.08917,0.51458466,Kakoli
13.777827,2.905152,Fore
11.197351,0.35787067,Ngarawapum
9.5101795,-1.1711067,Siuai
0.68754387,7.19914,Kurtatchi
13.786258,2.937225,Lakalai
1.1517901,4.0124426,Ontong Java
2.5841656,4.6965313,Macassarese
15.567294,4.317287,Yombe
15.3878975,6.6658893,Mbala
15.363505,6.644574,Songo
13.980452,2.8298,Bunda
15.086919,3.4839265,Lele
11.835663,5.4147663,Kuba
15.413289,3.7402594,Ha
13.269136,4.990965,Nyamwezi
15.841388,3.9782517,Turu
13.586838,6.6033587,Tatoga
15.470243,10.9724245,Sandawe
15.751905,3.9540436,Shambaa
9.183379,0.6518474,Star Mountain
9.488812,-2.2426586,Banaro
9.563164,-2.0686817,Manam
15.316322,4.7202754,Yanzi
15.210772,4.7172756,Dzing
15.6314125,4.9563975,Kutsu
15.7652645,3.9847078,Tetela
16.607052,5.449373,Songola
12.092283,4.7341304,Mbugwe
12.855258,6.075182,Digo
9.531846,-1.7033496,Duruma
16.528477,5.7948527,Mee
13.384066,4.561571,Dani
16.521078,5.4751053,Kwoma
7.6552405,-2.0638855,Iatmul
12.162795,6.105698,Arapesh
9.598724,-1.7493883,Abelam
10.839802,-1.8297817,Ambonese
8.394045,-0.19304356,Tangu
12.290248,6.188225,Wogeo
9.226814,-2.0151894,Lesu
13.942902,2.6302805,Shuar
9.253538,0.4505518,Yagua
9.47463,0.042340085,Ticuna
10.418228,-1.3516765,Tenetehara
15.349409,4.625505,Sakata
16.333237,4.898793,Kela
15.684653,4.9953976,Rega
15.598614,10.802069,Kiga
13.541659,2.5947466,Rundi
13.440638,4.6061244,Sukuma
9.579329,-1.7412305,Sonjo
16.5402,5.375666,Chagga
7.3006935,-2.416026,Giriama
9.970572,0.30048728,Samarokena
1.9945331,3.242063,Mentaweians
15.565837,10.901886,Waropen
16.057951,4.5305204,Ekonda
15.401816,3.7686038,Bashi
12.523323,5.8564167,Banyaruanda
16.226627,5.2020426,Maasi
8.615711,-7.51696,Bajuni
10.796642,-1.1585467,Toradja
8.319116,-0.9587736,Soromadja
11.247553,0.38718325,Manus
15.2882595,6.4839225,Usiai
12.347956,5.770634,Aua
2.157301,3.5619464,Gilbert Onotoa
8.841662,0.22049442,Witoto
13.002862,5.9787965,Haya
16.451153,5.325626,Luo
15.768651,4.0581827,Gusii
15.583371,4.98962,Kipsigis
16.638056,5.49618,Kikuyu
9.2032995,0.65626514,Pokomo
8.316151,-0.95001084,Minangkabau
13.383128,2.7162702,Nauruans
13.568712,2.48132,Tucano
6.9753084,-1.4360569,Nkundo
15.750196,4.017516,Meru
9.239474,0.7077523,Nandi
9.262191,0.49894786,Dorobo
0.7318794,6.3549423,Chachi
9.272052,0.0074807643,Cubeo
14.886616,0.5936901,Wai-wai
16.63646,5.5854883,Fang
9.622879,-1.7755451,Kota
14.5626335,5.138885,Amba
15.077621,4.898817,Ganda
15.712006,5.1820784,Soga
16.513885,5.3766804,Gisu
9.400015,0.4753322,Vugusu
15.634408,4.950091,Hill Suk
16.51777,5.362499,Plains Suk
2.2337463,3.7162707,Tobelorese
15.703433,0.7440109,Kapingamarangi
8.227783,-1.0065339,Yanomami
15.793987,3.998401,Puku
7.7780886,-3.1547167,Ngombe
6.970564,-1.4673711,Poto
12.674886,6.1948223,Popoi
2.2972133,3.3905413,Mbuti
9.721655,-1.6670732,Lendu
16.686214,5.612213,Alur
12.628884,6.168079,Nyoro
6.9562173,-1.4169116,Lango
12.694176,6.205422,Teso
15.6981125,10.475046,Toba Batak
2.8454068,4.947453,Iban
8.4229555,-0.0011272954,Negri Sembilan
13.641148,2.6257863,Ye'kuana
13.645905,2.8766525,Wapishana
15.801241,4.0423594,Bwaka
13.402624,4.581955,Mangbetu
7.250947,-1.6273003,Lugbara
